Course,UCAS,25 Above,Disability,Ethnicity,Gender,British,English native Language,Parent He attendance,Polar 4 Score,SLC,Care Leaver,Student Visa,Refugee,London Permanent Residence,UCAS Points,English,Maths,A Levels,Btec,Previous work,Bursary,Attendance,AWM year 1,AWM year 2,AWM year 3,Overall AWM,Progress,First Sit,Second Sit,Fails,No Submissions,Late Submission,Pass,Re Takes,desertion
BA Business Management,no,yes,no,Asian,Female,,yes,no,5.0,yes,no,no,no,yes,80.0,5.0,5.0,yes,no,no,no,58,43,34.0,,38.5,no,3,1.0,3,2,1,50.0,no,yes
BA Business Management,no,yes,no,Asian,Male,no,yes,no,,no,no,yes,no,no,129.0,5.0,5.0,yes,no,yes,no,76,84,54.0,70.0,69.33333333333333,yes,4,2.0,0,0,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,no,no,no,Asian,Male,no,yes,yes,1.0,yes,no,yes,no,no,125.0,3.0,4.0,yes,no,yes,no,43,58,35.0,,46.5,no,2,4.0,5,3,0,83.33333333333333,no,yes
BA Business Management Enterpreneurship and Innovation,no,no,no,Asian,Female,yes,yes,yes,3.0,yes,yes,no,no,no,104.0,6.0,7.0,yes,no,no,yes,55,40,77.0,53.0,56.666666666666664,yes,3,3.0,0,0,2,100.0,no,no
BA Business Management Enterpreneurship and Innovation,no,no,no,Asian,Female,yes,yes,yes,3.0,no,,no,no,yes,128.0,4.0,4.0,no,yes,no,no,70,41,60.0,52.0,51.0,yes,3,3.0,0,2,2,100.0,no,no
BA Business Management Enterpreneurship and Innovation,no,yes,no,Asian,Male,yes,yes,,4.0,yes,no,no,no,yes,80.0,4.0,4.0,yes,no,yes,no,44,62,30.0,,46.0,no,3,3.0,4,1,0,66.66666666666667,no,yes
BA Business Management Enterpreneurship and Innovation,no,no,no,White,Male,yes,yes,,4.0,yes,no,no,no,no,102.0,3.0,4.0,yes,yes,yes,no,41,41,38.0,,39.5,no,4,0.0,3,1,0,50.0,no,yes
BA Business Management Enterpreneurship and Innovation,no,yes,no,Asian,Male,yes,yes,yes,4.0,yes,no,no,no,yes,123.0,3.0,4.0,no,yes,no,no,100,71,43.0,34.0,49.333333333333336,no,4,2.0,5,1,1,83.33333333333333,no,no
BA Business Management Enterpreneurship and Innovation,no,yes,no,Asian,Male,no,yes,,3.0,no,no,yes,no,no,120.0,,,yes,no,no,no,69,64,65.0,63.0,64.0,yes,3,3.0,0,1,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,no,yes,no,Black/Black British African,Male,,yes,yes,5.0,no,no,no,no,yes,144.0,4.0,4.0,no,yes,yes,no,45,74,35.0,,54.5,no,3,3.0,2,0,1,33.333333333333336,no,yes
BA Business Management Enterpreneurship and Innovation,no,no,no,Other Black Background,Female,yes,yes,no,4.0,yes,no,no,no,yes,160.0,4.0,5.0,no,yes,yes,no,48,65,31.0,,48.0,no,6,0.0,5,0,0,83.33333333333333,no,yes
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,no,no,no,4.0,yes,no,no,no,yes,122.0,3.0,2.0,no,yes,no,no,95,43,43.0,42.0,42.666666666666664,yes,6,0.0,0,0,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,White,Male,no,no,no,3.0,no,no,yes,no,no,,8.0,7.0,yes,no,no,no,89,75,53.0,65.0,64.33333333333333,yes,3,3.0,0,0,2,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Asian,Male,no,no,no,5.0,yes,no,yes,no,no,152.0,,,yes,no,no,no,69,59,83.0,35.0,59.0,no,4,2.0,4,2,1,66.66666666666667,yes,no
BA Business Management Enterpreneurship and Innovation,yes,yes,no,Asian,Male,no,no,no,1.0,yes,no,no,no,no,168.0,8.0,7.0,yes,no,yes,yes,81,65,78.0,56.0,66.33333333333333,yes,6,0.0,0,0,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Black/Black British African,Male,no,yes,no,2.0,no,no,no,yes,no,108.0,3.0,2.0,yes,no,no,yes,59,37,,,37.0,no,4,1.0,1,0,3,16.666666666666668,no,yes
BA Business Management Enterpreneurship and Innovation,yes,no,no,Black/Black British African,Male,yes,yes,yes,4.0,yes,no,no,no,yes,120.0,5.0,4.0,yes,no,yes,no,95,63,52.0,52.0,55.666666666666664,yes,3,3.0,0,5,2,100.0,yes,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Asian,Male,no,no,no,3.0,no,no,yes,no,no,128.0,,,yes,no,yes,no,96,52,47.0,81.0,60.0,yes,3,3.0,0,2,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,yes,no,White,Male,no,yes,yes,5.0,no,no,yes,no,no,84.0,3.0,6.0,no,yes,yes,no,64,50,40.0,42.0,44.0,yes,4,2.0,0,1,0,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,yes,no,Black/Black British African,Female,no,yes,yes,5.0,no,no,yes,no,no,,5.0,5.0,yes,no,no,no,99,47,56.0,71.0,58.0,yes,4,2.0,0,5,2,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,yes,yes,White,Male,no,yes,yes,3.0,no,no,yes,no,no,148.0,4.0,4.0,no,no,yes,yes,94,77,59.0,48.0,61.333333333333336,yes,4,2.0,0,1,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Black/Black British African,Male,no,yes,no,3.0,no,no,yes,no,no,168.0,4.0,4.0,yes,no,no,no,72,55,54.0,42.0,50.333333333333336,yes,5,1.0,0,3,3,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,yes,no,Black/Black British African,Female,no,no,yes,1.0,no,no,no,no,no,82.0,4.0,4.0,yes,no,no,yes,94,54,66.0,70.0,63.333333333333336,yes,4,2.0,0,1,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Asian,Female,no,no,no,2.0,no,no,no,no,no,96.0,,,no,yes,yes,yes,76,55,80.0,44.0,59.666666666666664,yes,3,3.0,0,0,0,100.0,yes,no
BA Business Management Enterpreneurship and Innovation,yes,yes,no,Asian,Male,no,no,yes,2.0,no,no,no,,no,86.0,6.0,5.0,no,no,no,yes,51,42,35.0,,38.5,no,4,1.0,5,0,1,83.33333333333333,no,yes
BA Business Management Enterpreneurship and Innovation,yes,no,no,Black/Black British African,Female,no,yes,no,4.0,no,no,yes,no,yes,,6.0,6.0,yes,yes,yes,no,100,83,69.0,74.0,75.33333333333333,yes,5,1.0,0,4,3,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Black/Black British African,Female,no,yes,no,4.0,no,no,yes,no,no,95.0,8.0,4.0,yes,no,yes,no,63,85,79.0,47.0,70.33333333333333,yes,3,3.0,0,0,0,100.0,yes,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Asian,Female,no,no,no,4.0,no,no,yes,no,yes,125.0,,,no,yes,no,no,92,72,65.0,57.0,64.66666666666667,yes,6,0.0,0,0,1,100.0,no,no
BA Business Management Enterpreneurship and Innovation,yes,no,no,Asian,Male,no,no,yes,4.0,no,no,yes,no,no,133.0,6.0,5.0,yes,no,yes,no,94,43,47.0,58.0,49.333333333333336,yes,3,3.0,0,0,1,100.0,no,no
Ba Business Management Finance,yes,yes,no,White,Male,no,no,no,,no,no,yes,no,no,98.0,5.0,4.0,yes,no,no,no,79,72,58.0,75.0,68.33333333333333,yes,6,0.0,0,0,1,100.0,no,no
Ba Business Management Finance,yes,no,no,White,Female,yes,yes,yes,3.0,no,no,no,no,yes,168.0,7.0,5.0,yes,no,no,no,74,84,49.0,47.0,60.0,yes,4,2.0,0,4,2,100.0,no,no
Ba Business Management Finance,yes,no,no,Asian,Male,no,no,yes,5.0,no,no,yes,no,no,103.0,5.0,5.0,yes,no,yes,no,76,40,62.0,84.0,62.0,yes,3,3.0,0,3,2,100.0,no,no
Ba Business Management Finance,yes,yes,no,White,Male,yes,yes,yes,4.0,yes,,no,no,yes,168.0,4.0,4.0,no,yes,yes,no,82,40,49.0,57.0,48.666666666666664,yes,3,3.0,0,0,1,100.0,no,no
Ba Business Management Finance,yes,no,no,,Male,yes,yes,yes,5.0,yes,,no,no,yes,168.0,5.0,4.0,no,yes,yes,no,77,57,83.0,62.0,67.33333333333333,yes,3,3.0,0,1,2,100.0,no,no
Ba Business Management Finance,yes,yes,no,,Female,yes,no,yes,2.0,yes,,no,no,yes,88.0,4.0,4.0,yes,no,yes,yes,93,45,56.0,72.0,57.666666666666664,yes,4,2.0,0,2,2,100.0,no,no
Ba Business Management Finance,yes,yes,no,,Male,yes,yes,no,3.0,no,,no,no,yes,107.0,5.0,5.0,yes,no,yes,no,98,73,84.0,43.0,66.66666666666667,yes,3,3.0,0,2,2,100.0,no,no
Ba Business Management Finance,yes,no,no,Other ethnic background,Female,yes,no,no,5.0,yes,no,no,no,yes,111.0,7.0,6.0,yes,no,yes,no,70,43,55.0,,49.0,yes,3,3.0,0,2,0,100.0,no,yes
Ba Business Management Finance,yes,no,no,,Male,yes,yes,no,4.0,no,no,no,no,yes,168.0,5.0,6.0,,no,yes,no,97,58,83.0,41.0,60.666666666666664,yes,5,1.0,0,1,0,100.0,no,no
Ba Business Management Finance,yes,no,no,,Male,no,no,no,1.0,no,no,no,no,no,122.0,7.0,5.0,,no,yes,yes,92,51,50.0,80.0,60.333333333333336,yes,4,2.0,0,1,1,100.0,no,no
Ba Business Management Finance,no,yes,no,White,Male,no,no,yes,3.0,no,no,no,no,no,116.0,8.0,9.0,,no,no,no,93,81,40.0,80.0,67.0,yes,3,3.0,0,4,1,100.0,yes,no
Ba Business Management Finance,no,yes,no,Asian,Female,no,no,no,2.0,no,no,no,no,no,107.0,4.0,4.0,,no,no,yes,54,58,32.0,,45.0,no,3,3.0,3,1,0,50.0,no,yes
Ba Business Management Finance,no,yes,no,Other ethnic background,Male,no,no,yes,4.0,no,no,no,no,no,153.0,9.0,8.0,no,no,yes,no,72,49,75.0,75.0,66.33333333333333,yes,3,3.0,0,1,0,100.0,no,no
Ba Business Management Finance,no,yes,no,Other ethnic background,Female,no,no,yes,5.0,yes,no,no,no,no,110.0,,,,no,no,no,95,61,41.0,31.0,44.333333333333336,no,3,3.0,5,1,1,83.33333333333333,no,no
Ba Business Management Finance,no,yes,no,White,Male,no,no,no,4.0,yes,no,no,no,yes,93.0,8.0,5.0,yes,no,yes,no,42,65,35.0,,50.0,no,3,3.0,3,0,1,50.0,no,yes
Ba Business Management Finance,no,yes,no,White,Male,no,no,yes,1.0,no,no,no,no,yes,116.0,4.0,4.0,yes,no,yes,no,44,43,37.0,,40.0,no,3,3.0,4,1,1,66.66666666666667,no,yes
Ba Business Management Finance,no,yes,no,Asian,Male,no,no,yes,1.0,no,no,yes,no,no,133.0,7.0,4.0,yes,no,no,no,49,47,32.0,,39.5,no,3,2.0,2,3,2,33.333333333333336,no,yes
Ba Business Management Finance,no,no,no,Asian,Male,yes,no,yes,4.0,yes,no,no,no,yes,121.0,5.0,6.0,no,,yes,no,81,52,75.0,58.0,61.666666666666664,yes,3,3.0,0,3,1,100.0,no,no
Ba Business Management Finance,no,yes,no,Asian,Male,yes,no,yes,1.0,yes,no,no,no,yes,96.0,4.0,5.0,yes,yes,yes,no,46,40,37.0,,38.5,no,2,0.0,2,0,0,33.333333333333336,no,yes
Ba Business Management Finance,no,no,no,Asian,Male,yes,no,no,2.0,yes,no,no,no,yes,80.0,5.0,5.0,yes,,yes,yes,53,49,33.0,,41.0,no,3,3.0,4,0,2,66.66666666666667,no,yes
Ba Business Management Finance,no,yes,no,Asian,Male,no,no,no,3.0,no,no,no,no,no,115.0,5.0,5.0,yes,,yes,no,60,69,81.0,36.0,62.0,no,3,3.0,5,3,0,83.33333333333333,yes,no
Ba Business Management Finance,no,no,no,Asian,Male,no,no,no,,no,no,yes,no,no,125.0,3.0,4.0,yes,,no,no,69,58,42.0,78.0,59.333333333333336,yes,4,2.0,0,0,1,100.0,no,no
Ba Business Management Finance,no,yes,no,Asian,Male,yes,no,yes,4.0,no,no,no,no,yes,104.0,6.0,7.0,yes,,no,no,50,42,42.0,,42.0,yes,4,2.0,0,1,0,100.0,no,yes
Ba Business Management Finance,no,yes,no,Asian,Female,yes,no,yes,5.0,yes,no,no,no,yes,128.0,4.0,4.0,no,yes,yes,no,85,72,62.0,44.0,59.333333333333336,yes,4,2.0,0,1,1,100.0,yes,no
Ba Business Management Finance,no,yes,no,Black/Black British African,Male,no,no,,4.0,yes,no,no,no,no,80.0,4.0,4.0,yes,,no,no,65,60,51.0,71.0,60.666666666666664,yes,5,1.0,0,0,1,100.0,no,no
Ba Business Management Finance,no,yes,no,Mixed White and Asian,Female,no,no,yes,,no,no,no,no,no,102.0,3.0,4.0,yes,yes,no,no,90,44,64.0,65.0,57.666666666666664,yes,6,0.0,0,0,1,100.0,no,no
Ba Business Management Finance,no,yes,no,Asian,Male,no,no,yes,1.0,no,no,yes,no,no,123.0,3.0,4.0,no,yes,no,no,59,42,35.0,,38.5,no,4,0.0,5,1,0,83.33333333333333,no,yes
Ba Business Management Finance,no,yes,no,White,Male,no,no,yes,4.0,yes,no,no,no,yes,120.0,,,yes,,no,,58,44,32.0,,38.0,no,1,2.0,3,4,2,50.0,yes,yes
Ba Business Management Finance,no,no,no,Black/Black British African,Male,yes,no,yes,,yes,no,no,no,yes,144.0,4.0,4.0,no,yes,yes,,73,76,79.0,67.0,74.0,yes,3,3.0,0,0,1,100.0,no,no
Ba Business Management Finance,no,yes,no,Asian,Male,yes,no,,2.0,yes,no,no,no,yes,160.0,4.0,5.0,no,yes,no,yes,70,54,58.0,30.0,47.333333333333336,no,4,2.0,3,1,1,50.0,no,no
BA Business Management Marketing,no,no,no,White,Female,no,no,,3.0,no,no,no,no,yes,122.0,3.0,2.0,no,yes,yes,,60,42,40.0,,41.0,yes,6,0.0,0,0,0,100.0,no,yes
BA Business Management Marketing,no,yes,no,White,Male,no,no,no,1.0,no,no,yes,no,no,,8.0,7.0,yes,,yes,,60,49,42.0,,45.5,yes,6,0.0,0,1,0,100.0,no,yes
BA Business Management Marketing,yes,no,no,White,Male,yes,no,yes,3.0,no,no,no,no,yes,152.0,,,yes,no,no,,74,44,82.0,43.0,56.333333333333336,yes,5,1.0,0,0,0,100.0,no,no
BA Business Management Marketing,yes,no,no,Black/Black British African,Male,no,yes,no,,no,,yes,no,no,168.0,8.0,7.0,yes,no,no,no,79,60,75.0,40.0,58.333333333333336,yes,4,2.0,0,5,1,100.0,yes,no
BA Business Management Marketing,yes,no,no,Asian,Male,no,no,no,5.0,no,yes,no,yes,yes,108.0,3.0,2.0,yes,no,no,yes,82,51,64.0,85.0,66.66666666666667,yes,3,3.0,0,1,2,100.0,no,no
BA Business Management Marketing,yes,no,no,Black/Black British African,Female,yes,yes,no,,no,,no,no,no,107.0,5.0,3.0,yes,no,no,no,68,62,48.0,48.0,52.666666666666664,yes,4,2.0,0,1,1,100.0,no,no
BA Business Management Marketing,yes,no,no,White,Male,yes,no,yes,3.0,yes,,no,no,no,105.0,4.0,5.0,yes,no,yes,no,45,46,80.0,66.0,64.0,yes,6,0.0,0,0,0,100.0,no,no
BA Business Management Marketing,yes,no,no,White,Male,yes,yes,yes,4.0,yes,no,no,no,yes,120.0,5.0,6.0,yes,yes,no,no,63,58,52.0,65.0,58.333333333333336,yes,3,3.0,0,1,1,100.0,no,no
BA Business Management Marketing,yes,yes,no,Asian,Female,no,yes,no,2.0,no,no,no,no,no,101.0,,,yes,no,yes,yes,86,51,42.0,31.0,41.333333333333336,no,2,4.0,2,2,1,33.333333333333336,no,no
BA Business Management Marketing,yes,no,no,White,Male,no,no,yes,4.0,no,no,no,no,yes,100.0,4.0,4.0,no,no,yes,,87,59,62.0,44.0,55.0,yes,5,1.0,0,0,1,100.0,no,no
BA Business Management Marketing,yes,no,no,Asian,Male,yes,yes,yes,3.0,no,no,no,no,yes,152.0,5.0,5.0,no,yes,yes,,96,40,71.0,58.0,56.333333333333336,yes,3,3.0,0,1,1,100.0,no,no
BA Business Management Marketing,yes,no,no,Black/Black British African,Female,,no,no,1.0,yes,no,no,no,no,86.0,5.0,4.0,yes,no,no,yes,50,47,32.0,,39.5,no,2,0.0,4,1,2,66.66666666666667,no,yes
BA Business Management Marketing,yes,yes,yes,Black/Black British African,Female,,yes,no,4.0,yes,no,no,no,yes,92.0,6.0,6.0,yes,no,no,yes,88,83,72.0,43.0,66.0,yes,3,3.0,0,0,0,100.0,yes,no
BA Business Management Marketing,yes,yes,no,White,Female,no,no,no,2.0,yes,no,no,no,yes,107.0,,,yes,no,yes,yes,70,60,70.0,81.0,70.33333333333333,yes,3,3.0,0,0,2,100.0,no,no
BA Business Management Marketing,yes,yes,no,Other ethnic background,Female,,no,no,4.0,no,no,no,no,yes,117.0,5.0,6.0,yes,no,yes,,95,73,56.0,78.0,69.0,yes,4,2.0,0,0,1,100.0,no,no
BA Business Management Marketing,yes,no,no,Black/Black British African,Male,,yes,yes,4.0,no,no,no,no,yes,88.0,5.0,4.0,yes,yes,yes,,84,70,71.0,56.0,65.66666666666667,yes,5,1.0,0,1,1,100.0,no,no
BA Business Management Marketing,yes,yes,no,Asian,Male,,yes,yes,3.0,yes,no,no,no,yes,114.0,5.0,5.0,no,no,yes,,72,64,44.0,70.0,59.333333333333336,yes,3,3.0,0,1,0,100.0,no,no
BA Business Management Marketing,yes,yes,no,White,Female,no,no,yes,4.0,yes,no,no,no,yes,108.0,4.0,6.0,no,no,yes,,76,68,60.0,42.0,56.666666666666664,yes,3,3.0,0,0,0,100.0,yes,no
BA Business Management Marketing,yes,yes,no,Black/Black British African,Female,,yes,yes,4.0,yes,no,no,no,yes,130.0,6.0,5.0,yes,no,yes,no,79,42,62.0,44.0,49.333333333333336,yes,3,3.0,0,0,2,100.0,no,no
BA Business Management Marketing,yes,no,no,Black/Black British African,Male,,yes,yes,3.0,yes,no,no,no,yes,112.0,6.0,4.0,no,yes,no,no,98,64,44.0,40.0,49.333333333333336,yes,6,0.0,0,0,1,100.0,no,no
BA Business Management Marketing,yes,no,no,Black/Black British African,Female,no,no,no,5.0,no,no,yes,no,no,89.0,6.0,5.0,yes,no,no,no,72,79,69.0,52.0,66.66666666666667,yes,3,3.0,0,2,1,100.0,no,no
BA Business Management Marketing,yes,no,no,White,Male,,no,no,4.0,yes,,no,no,yes,103.0,4.0,5.0,yes,no,no,no,95,60,84.0,60.0,68.0,yes,4,2.0,0,1,0,100.0,no,no
BA Business Management Marketing,yes,no,no,Asian,Female,,no,no,2.0,no,,no,no,yes,128.0,4.0,4.0,no,yes,no,yes,99,70,74.0,53.0,65.66666666666667,yes,6,0.0,0,0,0,100.0,no,no
BA Business Management Marketing,yes,yes,no,Asian,Male,,yes,no,,no,,no,no,no,91.0,,,no,no,no,no,84,76,45.0,67.0,62.666666666666664,yes,3,3.0,0,2,1,100.0,no,no
BA Business Management Marketing,yes,no,no,Asian,Male,,yes,yes,4.0,no,,no,no,yes,128.0,4.0,5.0,no,yes,no,no,84,67,83.0,72.0,74.0,yes,4,2.0,0,1,1,100.0,no,no
BA Business Management Marketing,yes,no,no,Asian,Male,,yes,yes,5.0,yes,no,no,no,no,82.0,3.0,3.0,no,yes,yes,no,43,45,52.0,,48.5,yes,1,5.0,0,3,0,100.0,no,yes
BA Business Management Marketing,yes,yes,no,Black/Black British African,Male,,yes,no,4.0,yes,no,no,no,yes,84.0,4.0,4.0,yes,no,no,no,83,64,47.0,80.0,63.666666666666664,yes,6,0.0,0,0,0,100.0,no,no
BA Business Management Marketing,yes,yes,no,White,Male,no,no,yes,,no,no,no,no,no,127.0,,5.0,no,no,no,no,67,57,46.0,83.0,62.0,yes,3,3.0,0,0,2,100.0,no,no
BA Business Management Marketing,yes,no,no,Asian,Female,no,no,yes,,no,no,yes,no,no,120.0,4.0,4.0,yes,no,no,no,79,82,57.0,71.0,70.0,yes,3,3.0,0,3,1,100.0,no,no
BA Business Management Marketing,yes,no,no,Asian,Male,,yes,yes,4.0,yes,,no,no,no,96.0,4.0,5.0,no,yes,no,no,58,43,31.0,0.0,37.0,no,3,2.0,5,0,0,83.33333333333333,no,yes
BA Business Management Marketing,yes,no,no,White,Male,,yes,yes,1.0,yes,no,no,no,no,82.0,4.0,5.0,no,no,yes,no,81,58,41.0,66.0,55.0,yes,3,3.0,0,4,2,100.0,yes,no
BA Business Management Marketing,yes,no,no,Black/Black British African,Female,,no,,2.0,yes,no,no,no,no,117.0,,,no,yes,yes,yes,68,65,78.0,40.0,61.0,yes,3,3.0,0,2,2,100.0,yes,no
BA Business Management,yes,no,no,Other ethnic background,Female,no,yes,,3.0,no,no,no,no,no,153.0,9.0,8.0,no,no,no,no,65,65,59.0,56.0,60.0,yes,3,3.0,0,3,1,100.0,no,no
BA Business Management,yes,no,no,White,Male,no,no,no,,no,no,yes,no,no,,,,yes,no,no,no,80,61,60.0,74.0,65.0,yes,4,2.0,0,2,2,100.0,no,no
BA Business Management,yes,no,no,White,Female,yes,yes,yes,2.0,yes,no,no,no,no,93.0,8.0,5.0,yes,no,yes,yes,63,57,82.0,51.0,63.333333333333336,yes,4,2.0,0,0,0,100.0,no,no
BA Business Management,yes,no,no,White,Female,no,no,no,4.0,no,no,no,no,no,116.0,,,yes,no,yes,no,60,44,71.0,58.0,57.666666666666664,yes,5,1.0,0,0,0,100.0,no,no
BA Business Management,yes,yes,no,White,Female,yes,yes,yes,2.0,yes,no,no,no,no,133.0,7.0,4.0,yes,,yes,yes,92,79,46.0,76.0,67.0,yes,3,3.0,0,1,1,100.0,no,no
BA Business Management,yes,no,no,White,Female,no,yes,no,1.0,yes,no,yes,no,no,121.0,5.0,6.0,no,,no,no,89,64,84.0,63.0,70.33333333333333,yes,4,2.0,0,3,0,100.0,no,no
BA Business Management,yes,no,no,Black/Black British African,Male,yes,yes,no,1.0,yes,no,no,no,no,96.0,4.0,5.0,yes,yes,yes,yes,78,71,55.0,45.0,57.0,yes,3,3.0,0,0,2,100.0,no,no
